Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 21:30:04,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
430, 1/6/2024, 21:33:12.804,0.0013835,
431, 1/6/2024, 21:33:13.332,0.0013825,
432, 1/6/2024, 21:33:13.852,0.0013796,
433, 1/6/2024, 21:33:14.372,0.0013808,
434, 1/6/2024, 21:33:14.891,0.0013829,
435, 1/6/2024, 21:33:14.923,0.0013863,
436, 1/6/2024, 21:33:14.955,0.0013868,
437, 1/6/2024, 21:33:14.985,0.0013868,
438, 1/6/2024, 21:33:15.016,0.0013874,
439, 1/6/2024, 21:33:15.535,0.0013835,
440, 1/6/2024, 21:33:16.055,0.0013835,
441, 1/6/2024, 21:33:16.574,0.001383,
442, 1/6/2024, 21:33:17.092,0.0013819,
443, 1/6/2024, 21:33:17.613,0.0013826,
444, 1/6/2024, 21:33:18.133,0.0013804,
445, 1/6/2024, 21:33:18.654,0.0013796,
446, 1/6/2024, 21:33:19.175,0.0013803,
447, 1/6/2024, 21:33:19.696,0.0013816,
448, 1/6/2024, 21:33:20.215,0.0013817,
449, 1/6/2024, 21:33:20.721,0.0013827,
450, 1/6/2024, 21:33:21.228,0.0013828,
451, 1/6/2024, 21:33:21.748,0.001383,
452, 1/6/2024, 21:33:22.270,0.0013833,
453, 1/6/2024, 21:33:22.792,0.0013832,
454, 1/6/2024, 21:33:23.313,0.0013829,
455, 1/6/2024, 21:33:23.830,0.0013812,
456, 1/6/2024, 21:33:24.335,0.0013822,
457, 1/6/2024, 21:33:24.861,0.0013827,
458, 1/6/2024, 21:33:25.380,0.0013827,
459, 1/6/2024, 21:33:25.902,0.0013812,
460, 1/6/2024, 21:33:25.933,0.0013815,
461, 1/6/2024, 21:33:25.964,0.0013809,
462, 1/6/2024, 21:33:25.995,0.0013809,
463, 1/6/2024, 21:33:26.026,0.0013806,
464, 1/6/2024, 21:33:26.544,0.0013822,
465, 1/6/2024, 21:33:27.061,0.0013816,
466, 1/6/2024, 21:33:27.580,0.0013823,
467, 1/6/2024, 21:33:28.103,0.001383,
468, 1/6/2024, 21:33:28.623,0.0013821,
469, 1/6/2024, 21:33:29.145,0.0013835,
470, 1/6/2024, 21:33:29.665,0.0013839,
471, 1/6/2024, 21:33:30.186,0.001382,
472, 1/6/2024, 21:33:30.706,0.0013832,
473, 1/6/2024, 21:33:31.230,0.0013823,
474, 1/6/2024, 21:33:31.749,0.0013829,
475, 1/6/2024, 21:33:32.272,0.0013831,
476, 1/6/2024, 21:33:32.796,0.0013828,
477, 1/6/2024, 21:33:33.315,0.0013829,
478, 1/6/2024, 21:33:33.834,0.0013825,
479, 1/6/2024, 21:33:34.353,0.0013834,
480, 1/6/2024, 21:33:34.873,0.0013827,
481, 1/6/2024, 21:33:34.906,0.0013839,
482, 1/6/2024, 21:33:34.937,0.001386,
483, 1/6/2024, 21:33:34.969,0.0013863,
484, 1/6/2024, 21:33:35.000,0.0013857,
485, 1/6/2024, 21:33:35.522,0.0013807,
486, 1/6/2024, 21:33:36.040,0.0013825,
487, 1/6/2024, 21:33:36.562,0.0013825,
488, 1/6/2024, 21:33:37.078,0.0013802,
489, 1/6/2024, 21:33:37.599,0.0013817,
490, 1/6/2024, 21:33:38.121,0.0013815,
491, 1/6/2024, 21:33:38.640,0.0013824,
492, 1/6/2024, 21:33:39.161,0.0013827,
493, 1/6/2024, 21:33:39.679,0.0013805,
494, 1/6/2024, 21:33:40.192,0.0013786,
495, 1/6/2024, 21:33:40.698,0.0013824,
496, 1/6/2024, 21:33:41.219,0.0013815,
497, 1/6/2024, 21:33:41.737,0.0013805,
498, 1/6/2024, 21:33:42.243,0.0013833,
499, 1/6/2024, 21:33:42.764,0.0013807,
500, 1/6/2024, 21:33:43.282,0.0013816,
501, 1/6/2024, 21:33:43.804,0.0013827,
502, 1/6/2024, 21:33:44.327,0.0013829,
