Optical Power Monitor,,,,
5.0.4590.776,,,,
Delimiter Used: , ',',,
,,,,
Start of Measurement , 1/6/2024 20:17:20,,,
Sample Interval , 0.5 s,,,
, PM100D 200629114,,,
Type, PM100D,,,
Serialnumber, P0041112,,,
Sensor, S120C,,,
SensorSerialnumber,200629114,,,
Wavelength / Responsivity, 780 nm,,,
,,,,
,,,PM100D 200629114, 
Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),
210, 1/6/2024, 20:18:51.551,0.0013913,
211, 1/6/2024, 20:18:52.069,0.0013913,
212, 1/6/2024, 20:18:52.587,0.0013901,
213, 1/6/2024, 20:18:53.107,0.0013889,
214, 1/6/2024, 20:18:53.625,0.0013877,
215, 1/6/2024, 20:18:54.127,0.0013883,
216, 1/6/2024, 20:18:54.646,0.0013888,
217, 1/6/2024, 20:18:55.170,0.001389,
218, 1/6/2024, 20:18:55.688,0.0013894,
219, 1/6/2024, 20:18:56.205,0.0013896,
220, 1/6/2024, 20:18:56.726,0.0013903,
221, 1/6/2024, 20:18:57.246,0.0013885,
222, 1/6/2024, 20:18:57.766,0.0013872,
223, 1/6/2024, 20:18:58.268,0.0013881,
224, 1/6/2024, 20:18:58.789,0.001389,
225, 1/6/2024, 20:18:59.315,0.0013888,
226, 1/6/2024, 20:18:59.833,0.0013908,
227, 1/6/2024, 20:19:00.357,0.0013903,
228, 1/6/2024, 20:19:00.878,0.0013869,
229, 1/6/2024, 20:19:00.924,0.0013782,
230, 1/6/2024, 20:19:00.967,0.0013907,
231, 1/6/2024, 20:19:00.998,0.0013854,
232, 1/6/2024, 20:19:01.030,0.0013836,
233, 1/6/2024, 20:19:01.547,0.0013901,
234, 1/6/2024, 20:19:02.068,0.0013894,
235, 1/6/2024, 20:19:02.586,0.001389,
236, 1/6/2024, 20:19:03.107,0.0013887,
237, 1/6/2024, 20:19:03.633,0.0013885,
238, 1/6/2024, 20:19:04.155,0.0013893,
239, 1/6/2024, 20:19:04.674,0.0013889,
240, 1/6/2024, 20:19:05.192,0.0013889,
241, 1/6/2024, 20:19:05.714,0.0013884,
242, 1/6/2024, 20:19:06.235,0.0013887,
243, 1/6/2024, 20:19:06.754,0.0013872,
244, 1/6/2024, 20:19:07.277,0.0013887,
245, 1/6/2024, 20:19:07.797,0.0013893,
246, 1/6/2024, 20:19:08.316,0.0013894,
247, 1/6/2024, 20:19:08.836,0.0013898,
248, 1/6/2024, 20:19:09.354,0.0013889,
249, 1/6/2024, 20:19:09.874,0.0013883,
250, 1/6/2024, 20:19:09.905,0.0013877,
251, 1/6/2024, 20:19:09.938,0.0013883,
252, 1/6/2024, 20:19:09.969,0.0013922,
253, 1/6/2024, 20:19:10.000,0.0013922,
254, 1/6/2024, 20:19:10.520,0.0013885,
255, 1/6/2024, 20:19:11.041,0.0013902,
256, 1/6/2024, 20:19:11.560,0.0013899,
257, 1/6/2024, 20:19:12.083,0.0013898,
258, 1/6/2024, 20:19:12.605,0.0013899,
259, 1/6/2024, 20:19:13.126,0.0013898,
260, 1/6/2024, 20:19:13.646,0.0013903,
261, 1/6/2024, 20:19:14.165,0.0013907,
262, 1/6/2024, 20:19:14.686,0.0013914,
263, 1/6/2024, 20:19:15.202,0.0013892,
264, 1/6/2024, 20:19:15.720,0.0013892,
265, 1/6/2024, 20:19:16.240,0.0013889,
266, 1/6/2024, 20:19:16.759,0.0013893,
267, 1/6/2024, 20:19:17.278,0.001388,
268, 1/6/2024, 20:19:17.798,0.0013896,
269, 1/6/2024, 20:19:18.319,0.0013889,
270, 1/6/2024, 20:19:18.822,0.0013887,
271, 1/6/2024, 20:19:19.340,0.0013898,
272, 1/6/2024, 20:19:19.859,0.0013895,
273, 1/6/2024, 20:19:20.384,0.0013893,
274, 1/6/2024, 20:19:20.904,0.0013883,
275, 1/6/2024, 20:19:20.936,0.0013883,
276, 1/6/2024, 20:19:20.967,0.0013898,
277, 1/6/2024, 20:19:20.998,0.0013889,
278, 1/6/2024, 20:19:21.029,0.0013892,
279, 1/6/2024, 20:19:21.557,0.0013896,
280, 1/6/2024, 20:19:22.076,0.0013888,
281, 1/6/2024, 20:19:22.594,0.0013888,
282, 1/6/2024, 20:19:23.113,0.0013894,
283, 1/6/2024, 20:19:23.633,0.0013886,
284, 1/6/2024, 20:19:24.152,0.0013887,
285, 1/6/2024, 20:19:24.669,0.0013882,
286, 1/6/2024, 20:19:25.188,0.0013897,
287, 1/6/2024, 20:19:25.705,0.0013887,
288, 1/6/2024, 20:19:26.225,0.0013894,
289, 1/6/2024, 20:19:26.742,0.0013893,
290, 1/6/2024, 20:19:27.266,0.0013893,
291, 1/6/2024, 20:19:27.786,0.0013891,
292, 1/6/2024, 20:19:28.306,0.0013905,
293, 1/6/2024, 20:19:28.827,0.0013898,
294, 1/6/2024, 20:19:29.348,0.0013885,
295, 1/6/2024, 20:19:29.867,0.0013888,
296, 1/6/2024, 20:19:30.386,0.0013893,
297, 1/6/2024, 20:19:30.903,0.0013888,
298, 1/6/2024, 20:19:30.935,0.0013907,
299, 1/6/2024, 20:19:30.966,0.0013895,
300, 1/6/2024, 20:19:30.997,0.0013898,
301, 1/6/2024, 20:19:31.028,0.0013901,
302, 1/6/2024, 20:19:31.550,0.0013877,
303, 1/6/2024, 20:19:32.069,0.0013883,
304, 1/6/2024, 20:19:32.591,0.0013884,
305, 1/6/2024, 20:19:33.113,0.0013892,
306, 1/6/2024, 20:19:33.633,0.0013891,
307, 1/6/2024, 20:19:34.152,0.0013893,
308, 1/6/2024, 20:19:34.671,0.0013876,
309, 1/6/2024, 20:19:35.195,0.0013882,
310, 1/6/2024, 20:19:35.713,0.0013883,
311, 1/6/2024, 20:19:36.230,0.0013879,
312, 1/6/2024, 20:19:36.746,0.0013886,
313, 1/6/2024, 20:19:37.268,0.0013881,
314, 1/6/2024, 20:19:37.791,0.0013887,
315, 1/6/2024, 20:19:38.311,0.0013893,
316, 1/6/2024, 20:19:38.831,0.0013891,
317, 1/6/2024, 20:19:39.354,0.0013887,
